,Message,Favourite Count,Retweet Count,Created At,Source,Username
97,Patience: it's a valuable skill for investing and for training new employees at Dairy Queen. https://t.co/654kxGktaO,6121,632,2019-06-05 14:06:44,Sprinklr,Bill Gates
98,Warren and I recently picked up a @DairyQueen shift. I think I may have been a quicker study in the Blizzard depart… https://t.co/9v7Pfyscxe,10440,1986,2019-06-04 12:07:00,Twitter Media Studio,Bill Gates
99,A powerful call to action from @angienguku on the eve of #WD2019. @melindagates and I are impatient for every mothe… https://t.co/0x1RJk2E5D,3545,473,2019-06-03 04:20:50,Sprinklr,Bill Gates
100,"If you’re working on digital biomarkers for Alzheimer's disease and related dementias, I encourage you to apply for… https://t.co/HgILGvvgDd",2440,334,2019-05-31 16:52:52,Twitter Web Client,Bill Gates
101,Congratulations to the first round of award recipients from @TheADDF’s Diagnostics Accelerator. Your ideas are gett… https://t.co/nAUWkUUpd5,3868,402,2019-05-31 16:49:46,Twitter Web Client,Bill Gates
102,Identifying candidates for clinical trials more quickly is essential in the fight against Alzheimer’s. That’s why I… https://t.co/IinZ9zQ1KB,4109,608,2019-05-30 16:22:00,Sprinklr,Bill Gates
103,"I recently sat down with one of my favorite authors, Jared Diamond. His perspective on political polarization reall… https://t.co/7V2lrpkhm9",4923,730,2019-05-29 17:26:37,Twitter Media Studio,Bill Gates
104,Breakthrough Energy Ventures – Europe will be a catalyst for innovative solutions to fight climate change. We have… https://t.co/hvdDw3DW3m,4288,606,2019-05-28 19:14:00,Sprinklr,Bill Gates
105,"We need the collective effort of governments, individuals, and the private sector to tackle climate change. I’m exc… https://t.co/apqvhzQZZ9",3571,490,2019-05-28 16:26:32,Twitter Web Client,Bill Gates
106,I can’t recommend these books highly enough: https://t.co/h9J71vWAcz https://t.co/3gOdcA4OaX,6826,1189,2019-05-25 14:07:00,Twitter Media Studio,Bill Gates
107,"Last year I recommended “Bad Blood,” which is about the rise and fall of Theranos. This year I’m recommending “Nine… https://t.co/BXNxYzx70S",4100,510,2019-05-24 17:38:00,Sprinklr,Bill Gates
108,Congratulations @NarendraModi on a remarkable win in #IndianElections2019. Your continued commitment to improve hea… https://t.co/5ylNvZXOpn,76463,14996,2019-05-24 14:30:27,Twitter Web Client,Bill Gates
